=============BTC 7, 10=============
开多:2019-10-06T04:00:00, 开仓价:175.84, 平多:2019-10-06T14:00:00, 平仓价:173.00, 盈亏-1.62%
开空:2019-10-06T14:00:00, 开仓价:173.00, 平空:2019-10-07T18:00:00, 平仓价:174.56, 盈亏-0.90%
开多:2019-10-07T18:00:00, 开仓价:174.56, 平多:2019-10-11T12:00:00, 平仓价:188.89, 盈亏8.21%
开空:2019-10-11T12:00:00, 开仓价:188.89, 平空:2019-10-13T20:00:00, 平仓价:183.72, 盈亏2.73%
开多:2019-10-13T20:00:00, 开仓价:183.72, 平多:2019-10-14T06:00:00, 平仓价:181.36, 盈亏-1.29%
开空:2019-10-14T06:00:00, 开仓价:181.36, 平空:2019-10-14T12:00:00, 平仓价:183.89, 盈亏-1.40%
开多:2019-10-14T12:00:00, 开仓价:183.89, 平多:2019-10-15T16:00:00, 平仓价:182.97, 盈亏-0.50%
开空:2019-10-15T16:00:00, 开仓价:182.97, 平空:2019-10-17T20:00:00, 平仓价:177.01, 盈亏3.26%
开多:2019-10-17T20:00:00, 开仓价:177.01, 平多:2019-10-18T12:00:00, 平仓价:174.26, 盈亏-1.55%
开空:2019-10-18T12:00:00, 开仓价:174.26, 平空:2019-10-19T20:00:00, 平仓价:174.24, 盈亏0.01%
开多:2019-10-19T20:00:00, 开仓价:174.24, 平多:2019-10-20T00:00:00, 平仓价:173.20, 盈亏-0.59%
开空:2019-10-20T00:00:00, 开仓价:173.20, 平空:2019-10-20T22:00:00, 平仓价:173.75, 盈亏-0.32%
开多:2019-10-20T22:00:00, 开仓价:173.75, 平多:2019-10-22T02:00:00, 平仓价:173.93, 盈亏0.10%
总盈亏64.44%
=============EOS0 7, 10=============
开空:2019-08-01T16:00:00, 开仓价:4.29, 平空:2019-08-02T04:00:00, 平仓价:4.33, 盈亏-0.91%
开多:2019-08-02T04:00:00, 开仓价:4.33, 平多:2019-08-02T08:00:00, 平仓价:4.28, 盈亏-1.02%
开空:2019-08-02T08:00:00, 开仓价:4.28, 平空:2019-08-02T14:00:00, 平仓价:4.33, 盈亏-1.10%
开多:2019-08-02T14:00:00, 开仓价:4.33, 平多:2019-08-03T00:00:00, 平仓价:4.15, 盈亏-4.29%
开空:2019-08-03T00:00:00, 开仓价:4.15, 平空:2019-08-03T12:00:00, 平仓价:4.32, 盈亏-4.10%
开多:2019-08-03T12:00:00, 开仓价:4.32, 平多:2019-08-04T10:00:00, 平仓价:4.26, 盈亏-1.34%
开空:2019-08-04T10:00:00, 开仓价:4.26, 平空:2019-08-05T08:00:00, 平仓价:4.31, 盈亏-1.25%
开多:2019-08-05T08:00:00, 开仓价:4.31, 平多:2019-08-06T18:00:00, 平仓价:4.36, 盈亏1.25%
开空:2019-08-06T18:00:00, 开仓价:4.36, 平空:2019-08-10T16:00:00, 平仓价:4.02, 盈亏7.97%
开多:2019-08-10T16:00:00, 开仓价:4.02, 平多:2019-08-10T18:00:00, 平仓价:3.91, 盈亏-2.66%
开空:2019-08-10T18:00:00, 开仓价:3.91, 平空:2019-08-11T02:00:00, 平仓价:4.07, 盈亏-3.99%
开多:2019-08-11T02:00:00, 开仓价:4.07, 平多:2019-08-12T16:00:00, 平仓价:4.12, 盈亏1.45%
开空:2019-08-12T16:00:00, 开仓价:4.12, 平空:2019-08-14T10:00:00, 平仓价:4.11, 盈亏0.44%
开多:2019-08-14T10:00:00, 开仓价:4.11, 平多:2019-08-14T16:00:00, 平仓价:4.03, 盈亏-1.83%
开空:2019-08-14T16:00:00, 开仓价:4.03, 平空:2019-08-17T04:00:00, 平仓价:3.61, 盈亏10.44%
开多:2019-08-17T04:00:00, 开仓价:3.61, 平多:2019-08-17T10:00:00, 平仓价:3.57, 盈亏-1.14%
开空:2019-08-17T10:00:00, 开仓价:3.57, 平空:2019-08-17T12:00:00, 平仓价:3.60, 盈亏-0.87%
开多:2019-08-17T12:00:00, 开仓价:3.60, 平多:2019-08-17T18:00:00, 平仓价:3.57, 盈亏-0.94%
开空:2019-08-17T18:00:00, 开仓价:3.57, 平空:2019-08-18T18:00:00, 平仓价:3.63, 盈亏-1.91%
开多:2019-08-18T18:00:00, 开仓价:3.63, 平多:2019-08-20T04:00:00, 平仓价:3.69, 盈亏1.57%
开空:2019-08-20T04:00:00, 开仓价:3.69, 平空:2019-08-20T06:00:00, 平仓价:3.72, 盈亏-0.65%
开多:2019-08-20T06:00:00, 开仓价:3.72, 平多:2019-08-20T08:00:00, 平仓价:3.69, 盈亏-0.59%
开空:2019-08-20T08:00:00, 开仓价:3.69, 平空:2019-08-22T20:00:00, 平仓价:3.59, 盈亏2.90%
开多:2019-08-22T20:00:00, 开仓价:3.59, 平多:2019-08-24T12:00:00, 平仓价:3.64, 盈亏1.62%
开空:2019-08-24T12:00:00, 开仓价:3.64, 平空:2019-08-25T06:00:00, 平仓价:3.66, 盈亏-0.49%
开多:2019-08-25T06:00:00, 开仓价:3.66, 平多:2019-08-25T08:00:00, 平仓价:3.64, 盈亏-0.60%
开空:2019-08-25T08:00:00, 开仓价:3.64, 平空:2019-08-25T10:00:00, 平仓价:3.65, 盈亏-0.36%
开多:2019-08-25T10:00:00, 开仓价:3.65, 平多:2019-08-25T12:00:00, 平仓价:3.62, 盈亏-0.79%
开空:2019-08-25T12:00:00, 开仓价:3.62, 平空:2019-08-25T16:00:00, 平仓价:3.66, 盈亏-0.99%
开多:2019-08-25T16:00:00, 开仓价:3.66, 平多:2019-08-25T22:00:00, 平仓价:3.59, 盈亏-2.02%
开空:2019-08-25T22:00:00, 开仓价:3.59, 平空:2019-08-26T12:00:00, 平仓价:3.64, 盈亏-1.39%
开多:2019-08-26T12:00:00, 开仓价:3.64, 平多:2019-08-27T00:00:00, 平仓价:3.60, 盈亏-1.02%
开空:2019-08-27T00:00:00, 开仓价:3.60, 平空:2019-08-30T16:00:00, 平仓价:3.27, 盈亏9.11%
开多:2019-08-30T16:00:00, 开仓价:3.27, 平多:2019-08-31T00:00:00, 平仓价:3.20, 盈亏-2.11%
开空:2019-08-31T00:00:00, 开仓价:3.20, 平空:2019-09-01T00:00:00, 平仓价:3.24, 盈亏-1.03%
开多:2019-09-01T00:00:00, 开仓价:3.24, 平多:2019-09-02T00:00:00, 平仓价:3.19, 盈亏-1.51%
开空:2019-09-02T00:00:00, 开仓价:3.19, 平空:2019-09-02T20:00:00, 平仓价:3.28, 盈亏-2.82%
开多:2019-09-02T20:00:00, 开仓价:3.28, 平多:2019-09-04T16:00:00, 平仓价:3.33, 盈亏1.74%
开空:2019-09-04T16:00:00, 开仓价:3.33, 平空:2019-09-06T12:00:00, 平仓价:3.31, 盈亏0.84%
开多:2019-09-06T12:00:00, 开仓价:3.31, 平多:2019-09-07T02:00:00, 平仓价:3.25, 盈亏-1.72%
开空:2019-09-07T02:00:00, 开仓价:3.25, 平空:2019-09-07T22:00:00, 平仓价:3.44, 盈亏-5.82%
开多:2019-09-07T22:00:00, 开仓价:3.44, 平多:2019-09-10T20:00:00, 平仓价:3.79, 盈亏10.15%
开空:2019-09-10T20:00:00, 开仓价:3.79, 平空:2019-09-12T20:00:00, 平仓价:3.78, 盈亏0.26%
开多:2019-09-12T20:00:00, 开仓价:3.78, 平多:2019-09-16T18:00:00, 平仓价:4.12, 盈亏9.00%
开空:2019-09-16T18:00:00, 开仓价:4.12, 平空:2019-09-17T06:00:00, 平仓价:4.19, 盈亏-1.80%
开多:2019-09-17T06:00:00, 开仓价:4.19, 平多:2019-09-18T12:00:00, 平仓价:4.18, 盈亏-0.36%
开空:2019-09-18T12:00:00, 开仓价:4.18, 平空:2019-09-19T00:00:00, 平仓价:4.22, 盈亏-1.03%
开多:2019-09-19T00:00:00, 开仓价:4.22, 平多:2019-09-19T02:00:00, 平仓价:4.17, 盈亏-1.09%
开空:2019-09-19T02:00:00, 开仓价:4.17, 平空:2019-09-21T06:00:00, 平仓价:4.11, 盈亏1.41%
开多:2019-09-21T06:00:00, 开仓价:4.11, 平多:2019-09-22T08:00:00, 平仓价:4.04, 盈亏-1.68%
