开空:2019-09-14T17:00:00, 开仓价:3.79, 平空:2019-09-14T21:00:00, 平仓价:3.98, 盈亏-5.15%
开多:2019-09-14T21:00:00, 开仓价:3.98, 平多:2019-09-16T00:00:00, 平仓价:4.15, 盈亏4.24%
开空:2019-09-16T00:00:00, 开仓价:4.15, 平空:2019-09-16T07:00:00, 平仓价:4.19, 盈亏-0.96%
开多:2019-09-16T07:00:00, 开仓价:4.19, 平多:2019-09-16T16:00:00, 平仓价:4.17, 盈亏-0.67%
开空:2019-09-16T16:00:00, 开仓价:4.17, 平空:2019-09-17T04:00:00, 平仓价:4.19, 盈亏-0.70%
开多:2019-09-17T04:00:00, 开仓价:4.19, 平多:2019-09-17T17:00:00, 平仓价:4.15, 盈亏-1.05%
开空:2019-09-17T17:00:00, 开仓价:4.15, 平空:2019-09-17T18:00:00, 平仓价:4.17, 盈亏-0.58%
开多:2019-09-17T18:00:00, 开仓价:4.17, 平多:2019-09-18T08:00:00, 平仓价:4.19, 盈亏0.48%
开空:2019-09-18T08:00:00, 开仓价:4.19, 平空:2019-09-18T21:00:00, 平仓价:4.23, 盈亏-0.83%
开多:2019-09-18T21:00:00, 开仓价:4.23, 平多:2019-09-19T03:00:00, 平仓价:4.17, 盈亏-1.35%
开空:2019-09-19T03:00:00, 开仓价:4.17, 平空:2019-09-20T02:00:00, 平仓价:4.00, 盈亏4.17%
开多:2019-09-20T02:00:00, 开仓价:4.00, 平多:2019-09-20T18:00:00, 平仓价:3.99, 盈亏-0.13%
开空:2019-09-20T18:00:00, 开仓价:3.99, 平空:2019-09-20T20:00:00, 平仓价:4.02, 盈亏-0.73%
开多:2019-09-20T20:00:00, 开仓价:4.02, 平多:2019-09-20T22:00:00, 平仓价:3.99, 盈亏-0.80%
开空:2019-09-20T22:00:00, 开仓价:3.99, 平空:2019-09-21T03:00:00, 平仓价:4.02, 盈亏-0.65%
开多:2019-09-21T03:00:00, 开仓价:4.02, 平多:2019-09-22T04:00:00, 平仓价:4.10, 盈亏2.07%
开空:2019-09-22T04:00:00, 开仓价:4.10, 平空:2019-09-23T17:00:00, 平仓价:3.93, 盈亏4.22%
开多:2019-09-23T17:00:00, 开仓价:3.93, 平多:2019-09-23T20:00:00, 平仓价:3.89, 盈亏-0.84%
开空:2019-09-23T20:00:00, 开仓价:3.89, 平空:2019-09-23T22:00:00, 平仓价:3.93, 盈亏-1.05%
开多:2019-09-23T22:00:00, 开仓价:3.93, 平多:2019-09-24T05:00:00, 平仓价:3.85, 盈亏-2.11%
开空:2019-09-24T05:00:00, 开仓价:3.85, 平空:2019-10-07T20:00:00, 平仓价:3.04, 盈亏21.16%
